Dia,Período,Atividade,Duração (h),Documentação,Duração Doc (h)
1,Manhã,Configuração do ambiente,1,Documentação inicial do projeto e ambiente,0.25
1,Manhã,Criação da estrutura de pastas/arquivos,0.5,Documentação da estrutura do projeto,0.25
1,Manhã,Implementação do Model,1,Documentação do Model e suas propriedades,0.33
1,Manhã,Criação do script SQL e configuração do banco de dados,1,Documentação da estrutura do banco,0.25
1,Tarde,Implementação do Repository,2,Documentação do Repository e seus métodos,0.5
1,Tarde,Testes básicos de acesso ao banco,1,,0
1,Tarde,Início da implementação do Controller,0.5,,0
2,Manhã,Finalização do Controller,1.5,Documentação do Controller e sua lógica de negócio,0.5
2,Manhã,Implementação da View,1.5,Documentação da View e interface com usuário,0.5
2,Tarde,Implementação do Program principal,1,Documentação do fluxo principal da aplicação,0.33
2,Tarde,Integração de todas as camadas,1,,0
2,Tarde,Testes manuais do CRUD completo,1.67,Documentação dos casos de teste manuais,0.33
3,Manhã,Implementação do sistema de Logs,1.5,Documentação do sistema de logs,0.5
3,Manhã,Refinamento das validações,1,Documentação das regras de validação,0.33
3,Manhã,Correções baseadas nos testes manuais,0.67,,0
3,Tarde,Implementação dos testes unitários,2.5,Documentação da estratégia de testes unitários,0.5
3,Tarde,Revisão da documentação até o momento,1,,0
4,Manhã,Implementação da conteinerização com Docker,1.5,Documentação da configuração Docker,0.5
4,Manhã,Testes no ambiente Docker,1,,0
4,Manhã,Polimento final da interface do usuário,1,,0
4,Tarde,Compilação e organização de toda a documentação,2,,0
4,Tarde,Revisão geral do código,1,,0
4,Tarde,Preparação do pacote final para envio,1,,0
